,med_freq,mean_freq,med_power,mean_power
646,0.02959360134377024,0.02959360134377024,0.01085740437230797,0.01309296053354074
647,0.029785534878186578,0.029785534878186574,0.01107117314812293,0.012962977375407239
648,0.02997871322499348,0.02997871322499348,0.01128428674615496,0.012733982488286152
649,0.030173144457599735,0.030173144457599728,0.011486350895770672,0.012408894285724923
650,0.0303688367017754,0.030368836701775405,0.01099336899238355,0.011995827503552454
651,0.03056579813599138,0.03056579813599138,0.01026220411029434,0.011507397043738436
652,0.030764036991761216,0.030764036991761216,0.009195856713433922,0.010959498951392827
653,0.030963561553985112,0.030963561553985115,0.00843932729280032,0.010369719148479048
654,0.031164380161296176,0.031164380161296183,0.008282052062649557,0.00975562099910126
655,0.031366501206408916,0.03136650120640892,0.006855577905214499,0.009133207437445489
656,0.03156993313646998,0.03156993313646999,0.005961308842632054,0.008515822133758939
657,0.031774684453411195,0.031774684453411195,0.005757378195981757,0.00791365334802646
658,0.031980763714304916,0.031980763714304916,0.005356188698817137,0.007333863673408205
659,0.03218817953172158,0.03218817953172159,0.0050281748501263095,0.00678122946767856
660,0.032396940574089685,0.03239694057408969,0.004750506760953047,0.006259072163575896
661,0.03260705556605806,0.03260705556605805,0.004889727194097332,0.0057702231971985055
662,0.03281853328886051,0.032818533288860516,0.004189985994438007,0.005317791656370944
663,0.03303138258068277,0.03303138258068277,0.0038197898808925946,0.0049055887578470705
664,0.03324561233703191,0.03324561233703192,0.003623804066775995,0.004538180148701431
665,0.03346123151110806,0.03346123151110807,0.003544613734169285,0.004220648953517031
666,0.033678249114178604,0.033678249114178604,0.0037186130049238595,0.003958221996836166
667,0.03389667421595486,0.03389667421595487,0.0038435974073384744,0.0037559152226981918
668,0.03411651594497097,0.03411651594497096,0.003994807438038852,0.0036182938426121184
669,0.03433778348896553,0.03433778348896554,0.0035757829338968995,0.003549345977629615
670,0.03456048609526553,0.034560486095265526,0.0030359999191494425,0.0035523780228973443
671,0.03478463307117281,0.034784633071172806,0.002933327924452077,0.003629795515767924
672,0.03501023378435305,0.03501023378435304,0.003862980701499457,0.003782656613847645
673,0.03523729766322727,0.035237297663227266,0.004850819198015912,0.004009971431985026
674,0.03546583419736586,0.03546583419736587,0.00527826593202189,0.004307838955249857
675,0.035695852937885166,0.03569585293788517,0.005358186043885278,0.004668619330528347
676,0.035927363497846705,0.035927363497846705,0.005226159116103794,0.005080392580401246
677,0.03616037555265883,0.03616037555265883,0.005425505149731588,0.005526935716356178
678,0.03639489884048117,0.03639489884048118,0.005883680256945753,0.005988365142702156
679,0.03663094316263157,0.03663094316263156,0.006560586667369077,0.00644246285715006
680,0.03686851838399571,0.03686851838399572,0.006859145848673377,0.006866559193267635
681,0.03710763443343944,0.037107634433439445,0.007210921938326446,0.007239706897892238
682,0.03734830130422363,0.037348301304223626,0.007602809387107207,0.00754478240835597
683,0.03759052905442192,0.03759052905442193,0.008017671129947519,0.0077701307225623035
684,0.037834327807341014,0.03783432780734102,0.008333240129577573,0.007910463514799413
685,0.03807970775194374,0.03807970775194374,0.007608931197900787,0.007966919668361343
686,0.038326679143274964,0.03832667914327497,0.0067637548079758246,0.007946436060889836
687,0.03857525230289006,0.03857525230289006,0.005847883901440308,0.00786074667800972
688,0.03882543761928633,0.03882543761928632,0.005704911016903451,0.007725340914930284
689,0.039077245548337185,0.039077245548337185,0.006369194923564022,0.007558555505212554
690,0.03933068661372908,0.03933068661372908,0.006575631165975112,0.007380729992156181
691,0.039585771407401354,0.03958577140740136,0.006597003784784227,0.007213158061753766
692,0.039842510589988875,0.03984251058998888,0.007628885843171521,0.007076534998987123
693,0.04010091489126758,0.04010091489126759,0.008616611299329693,0.006988772764785475
694,0.040360995110602906,0.04036099511060291,0.008585810654318692,0.006962361920134448
695,0.04062276211740115,0.040622762117401144,0.008424152462523057,0.007001767320679693
696,0.040886226851563665,0.04088622685156367,0.008181076684963703,0.007101520462068555
697,0.041151400323944085,0.04115140032394409,0.007522426889736011,0.007245649395503484
698,0.041418293616808544,0.041418293616808544,0.006514507039840887,0.007408871576468951
699,0.04168691788429879,0.04168691788429879,0.005932198957900379,0.007559607632686158
700,0.04195728435289833,0.04195728435289834,0.006121919061352479,0.0076644202282677085
701,0.04222940432190167,0.04222940432190168,0.005728287075668956,0.007693055363336182
702,0.04250328916388648,0.042503289163886473,0.005228318709229676,0.007623030932874466
703,0.04277895032518889,0.0427789503251889,0.004856977346220094,0.00744282326218744
704,0.04305639932638197,0.043056399326381965,0.0043555752093308135,0.007153141036339554
705,0.04333564776275703,0.04333564776275702,0.0037573984366251565,0.00676634737849169
706,0.04361670730480831,0.043616707304808315,0.0032938765124644245,0.006304517485518824
707,0.04389958969872073,0.04389958969872072,0.003065728070105355,0.005796738952195275
708,0.04418430676686077,0.04418430676686076,0.0028399370690786294,0.005276121043345727
709,0.044470870408270545,0.04447087040827054,0.002599388038069163,0.004776755881491507
710,0.04475929259916513,0.044759292599165126,0.0022197333389177517,0.0043307239877746736
711,0.04504958539343304,0.045049585393433046,0.0013986583647779636,0.0039652015237489156
712,0.04534176092314002,0.04534176092314002,0.0018423708926527014,0.003699769125250251
713,0.045635831399036035,0.045635831399036035,0.002489562027823894,0.0035441097060751386
714,0.04593180911106566,0.045931809111065654,0.0030708347412238945,0.0034964146272744947
715,0.046229706428881634,0.046229706428881634,0.0038586492887355156,0.003542961935486013
716,0.04652953580236184,0.04652953580236185,0.003717920555786204,0.0036593591430053793
717,0.04683130976212961,0.04683130976212962,0.0041320778425274094,0.0038136910839912117
718,0.047135040920077545,0.04713504092007754,0.004869635156748317,0.003971255069635658
719,0.04744074196989433,0.04744074196989433,0.005235120938753587,0.004099933626309143
720,0.04774842568759545,0.04774842568759546,0.005069145089247927,0.0041749212313201434
721,0.04805810493205707,0.048058104932057075,0.004589466982578969,0.00418170494277907
722,0.048369792645553404,0.048369792645553404,0.004098836597809725,0.0041167968007766705
723,0.048683501854297664,0.04868350185429766,0.0037460789156973217,0.0039864209022613005
724,0.04899924566898643,0.04899924566898644,0.0037227642646675153,0.0038038923724035304
725,0.04931703728534757,0.04931703728534758,0.003601869051694531,0.0035866452520607315
726,0.049636889984691734,0.049636889984691734,0.0032117719889703618,0.0033537334320381113
727,0.04995881713446742,0.04995881713446742,0.0030677343996586403,0.0031242043240911873
