,med_freq,mean_freq,med_power,mean_power
227,1.9392126554867266e-06,1.939212655486726e-06,0.026008292783021227,0.02536533870841482
228,1.9516472632894486e-06,1.951647263289449e-06,0.02601591498858675,0.025367470218634874
229,1.964161604210031e-06,1.9641616042100314e-06,0.026023599057186732,0.025369598056202102
230,1.976756189512691e-06,1.9767561895126905e-06,0.02603134451666492,0.025371721189647117
231,1.989431533739972e-06,1.9894315337399725e-06,0.02603915084096638,0.025373838541125664
232,2.0021881547337767e-06,2.0021881547337767e-06,0.02604701744750254,0.025375948984632097
233,2.0150265736564924e-06,2.015026573656493e-06,0.026054943694391246,0.025378051344138463
234,2.027947315012319e-06,2.027947315012319e-06,0.026062928877595048,0.025380144391693404
235,2.0409509066686665e-06,2.040950906668667e-06,0.026070972227904086,0.02538222684540815
236,2.054037879877732e-06,2.0540378798777324e-06,0.026079072907804333,0.025384297367399007
237,2.067208769298218e-06,2.067208769298218e-06,0.026087230008193248,0.02538635456163136
238,2.0804641130171503e-06,2.08046411301715e-06,0.026095442544955598,0.025388396971695686
239,2.0938044525718724e-06,2.093804452571873e-06,0.026103709455373596,0.025390423078478146
240,2.1072303329721827e-06,2.1072303329721827e-06,0.026112029594390115,0.02539243129776836
241,2.1207423027225765e-06,2.120742302722576e-06,0.026120401730691998,0.02539441997775694
242,2.1343409138446656e-06,2.134340913844666e-06,0.026128824542617855,0.025396387396438413
243,2.1480267218997445e-06,2.1480267218997445e-06,0.026137296613885797,0.025398331758923864
244,2.1618002860114567e-06,2.1618002860114563e-06,0.026145816429129227,0.025400251194650537
245,2.175662168888674e-06,2.1756621688886745e-06,0.02615438236921134,0.025402143754461738
246,2.1896129368484514e-06,2.1896129368484514e-06,0.02616299270635528,0.025404007407610108
247,2.2036531598391807e-06,2.203653159839181e-06,0.026171645599036224,0.02540584003862304
248,2.217783411463885e-06,2.2177834114638846e-06,0.02618033908663746,0.02540763944404508
249,2.232004269003625e-06,2.2320042690036254e-06,0.02618907108387838,0.025409403329074765
250,2.246316313441116e-06,2.246316313441116e-06,0.02619783937497508,0.025411129304053526
251,2.2607201294844345e-06,2.2607201294844345e-06,0.026206641607543213,0.02541281488082986
252,2.275216305590919e-06,2.275216305590919e-06,0.026215475286214564,0.025414457468979905
253,2.289805433991223e-06,2.2898054339912227e-06,0.026224337765968078,0.025416054371883656
254,2.304488110713486e-06,2.304488110713486e-06,0.02623322624515638,0.02541760278265586
255,2.3192649356076936e-06,2.319264935607693e-06,0.02624213775820402,0.025419099779909016
256,2.3341365123702014e-06,2.334136512370202e-06,0.02625106916798218,0.025420542323366747
257,2.349103448568368e-06,2.3491034485683675e-06,0.02626001715782631,0.025421927249304022
258,2.364166355665392e-06,2.3641663556653916e-06,0.026268978223188015,0.025423251265808654
259,2.379325849045308e-06,2.3793258490453085e-06,0.02627794866290565,0.025424510947871088
260,2.3945825480380916e-06,2.394582548038092e-06,0.02628692457007119,0.025425702732278187
261,2.4099370759450032e-06,2.4099370759450037e-06,0.026295901822471324,0.025426822912312963
262,2.425390060064016e-06,2.425390060064016e-06,0.02630487607260231,0.025427867632263023
263,2.44094213171546e-06,2.44094213171546e-06,0.026313842737205252,0.025428832881703195
264,2.4565939262678294e-06,2.456593926267829e-06,0.026322796986333837,0.02542971448957656
265,2.472346083163703e-06,2.472346083163703e-06,0.026331733731907794,0.025430508118042816
266,2.4881992459459104e-06,2.4881992459459108e-06,0.026340647615739766,0.025431209256094434
267,2.5041540622837866e-06,2.5041540622837862e-06,0.02634953299701179,0.025431813212939774
268,2.52021118399965e-06,2.5202111839996497e-06,0.0263583839391629,0.02543231511112336
269,2.5363712670954437e-06,2.5363712670954437e-06,0.026367194196182372,0.025432709879406084
270,2.5526349717795077e-06,2.5526349717795077e-06,0.026375957198257312,0.02543299224536393
271,2.5690029624935663e-06,2.5690029624935668e-06,0.026384666036760988,0.02543315672772049
272,2.585475907939888e-06,2.5854759079398877e-06,0.02639331344854342,0.025433197628390518
273,2.602054481108575e-06,2.602054481108575e-06,0.02640189179949732,0.02543310902423414
274,2.618739359305072e-06,2.6187393593050714e-06,0.026410393067360764,0.025432884758505435
275,2.635531224177854e-06,2.635531224177854e-06,0.026418808823721107,0.02543251843198745
276,2.652430761746236e-06,2.6524307617462363e-06,0.02642713021519218,0.025432003393810104
277,2.669438662428445e-06,2.669438662428445e-06,0.02643534794371579,0.025431332731931034
278,2.6865556210697867e-06,2.686555621069787e-06,0.02644345224595381,0.025430499263279317
279,2.7037823369710485e-06,2.7037823369710485e-06,0.0264514328717311,0.025429495523547136
280,2.721119513917089e-06,2.7211195139170894e-06,0.02645927906147945,0.025428313756619247
281,2.738567860205547e-06,2.738567860205547e-06,0.02646697952264715,0.02542694590363659
282,2.7561280886758285e-06,2.756128088675828e-06,0.02647452240502124,0.02542538359167869
283,2.7738009167381845e-06,2.773800916738185e-06,0.026481895274913007,0.025423618122054154
284,2.791587066403041e-06,2.7915870664030407e-06,0.02648908508816962,0.02542164045820452
285,2.8094872643105125e-06,2.809487264310512e-06,0.02649607816194064,0.025419441213190223
286,2.8275022417600524e-06,2.827502241760053e-06,0.026502860145164127,0.0254170106367743
287,2.845632734740349e-06,2.845632734740349e-06,0.02650941598770863,0.025414338602078174
288,2.86387948395941e-06,2.86387948395941e-06,0.02651572990811484,0.025411414591814913
289,2.8822432348747894e-06,2.88224323487479e-06,0.026521785359878758,0.025408227684086536
290,2.900724737724059e-06,2.9007247377240593e-06,0.026527564996223177,0.025404766537747002
291,2.9193247475554777e-06,2.9193247475554773e-06,0.026533050633283678,0.02540101937732034
292,2.9380440242587966e-06,2.938044024258797e-06,0.026538223211656612,0.02539697397747661
293,2.956883332596351e-06,2.9568833325963515e-06,0.026543062756241957,0.025392617647063888
294,2.9758434422342624e-06,2.9758434422342624e-06,0.026547548334312727,0.025387937212695093
295,2.994925127773902e-06,2.9949251277739023e-06,0.026551658011749017,0.025382919001892778
296,3.0141291687835512e-06,3.0141291687835512e-06,0.026555368807367405,0.025377548825801212
297,3.0334563498302128e-06,3.0334563498302124e-06,0.026558656645278005,0.025371811961465946
298,3.052907460511708e-06,3.0529074605117074e-06,0.026561496305201958,0.02536569313369727
299,3.0724832954888946e-06,3.0724832954888946e-06,0.026563861370683062,0.025359176496527403
